tds,building,boroughs,house,street,address,city,state,zipcode,bin,block,lot,boroughblocklot,censustrack,neighborhood,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
118,7,BRONX,815,EAST 152ND STREET,815 EAST 152ND STREET,BRONX,NY,10455,2091989,2665,1,2026650001,79,Melrose South-Mott Haven North,40.815793,-73.907769,0.87,street_center,,E 152nd St,,,Bronx,NY,Bronx County,10455,US,TIGER/Line® dataset from the US Census Bureau
31,1,BROOKLYN,180,TROY AVENUE,180 TROY AVENUE,BROOKLYN,NY,11213,3324615,1352,80,3013520080,343,Crown Heights North,40.671319,-73.936287,1,street_center,,Troy Ave,,,Brooklyn,NY,Kings County,11213,US,TIGER/Line® dataset from the US Census Bureau
31,2,BROOKLYN,1191,PARK PLACE,1191 PARK PLACE,BROOKLYN,NY,11213,3324614,1352,80,3013520080,343,Crown Heights North,40.672598,-73.937739,1,street_center,,Park Pl,,,Brooklyn,NY,Kings County,11213,US,TIGER/Line® dataset from the US Census Bureau
31,3,BROOKLYN,205,ALBANY AVENUE,205 ALBANY AVENUE,BROOKLYN,NY,11213,3324613,1352,80,3013520080,343,Crown Heights North,40.672363,-73.938965,1,street_center,,Albany Ave,,,Brooklyn,NY,Kings County,11213,US,TIGER/Line® dataset from the US Census Bureau
31,4,BROOKLYN,193,ALBANY AVENUE,193 ALBANY AVENUE,BROOKLYN,NY,11213,3324612,1352,80,3013520080,343,Crown Heights North,40.672363,-73.938965,1,street_center,,Albany Ave,,,Brooklyn,NY,Kings County,11213,US,TIGER/Line® dataset from the US Census Bureau
31,5,BROOKLYN,1008,SAINT MARKS AVENUE,1008 SAINT MARKS AVENUE,BROOKLYN,NY,11213,3324616,1352,80,3013520080,343,Crown Heights North,40.67445,-73.938668,1,street_center,,St Marks Ave,,,Brooklyn,NY,Kings County,11213,US,TIGER/Line® dataset from the US Census Bureau
31,6,BROOKLYN,162,TROY AVENUE,162 TROY AVENUE,BROOKLYN,NY,11213,3324617,1352,80,3013520080,343,Crown Heights North,40.671319,-73.936287,1,street_center,,Troy Ave,,,Brooklyn,NY,Kings County,11213,US,TIGER/Line® dataset from the US Census Bureau
85,7,BROOKLYN,1400,BERGEN STREET,1400 BERGEN STREET,BROOKLYN,NY,11213,3324611,1352,1,3013520001,343,Crown Heights North,40.675701,-73.94018,1,street_center,,Bergen St,,,Brooklyn,NY,Kings County,11213,US,TIGER/Line® dataset from the US Census Bureau
85,8,BROOKLYN,1414,BERGEN STREET,1414 BERGEN STREET,BROOKLYN,NY,11213,3324609,1352,1,3013520001,343,Crown Heights North,40.675701,-73.94018,1,street_center,,Bergen St,,,Brooklyn,NY,Kings County,11213,US,TIGER/Line® dataset from the US Census Bureau
85,9,BROOKLYN,1430,BERGEN STREET,1430 BERGEN STREET,BROOKLYN,NY,11213,3324610,1352,1,3013520001,343,Crown Heights North,40.675701,-73.94018,1,street_center,,Bergen St,,,Brooklyn,NY,Kings County,11213,US,TIGER/Line® dataset from the US Census Bureau
22,1,MANHATTAN,40,AMSTERDAM AVENUE,40 AMSTERDAM AVENUE,NEW YORK,NY,10023,1081771,1154,101,1011540101,151,Lincoln Square,40.77519,-73.984377,1,street_center,,Amsterdam Ave,,,New York,NY,New York County,10023,US,TIGER/Line® dataset from the US Census Bureau
22,1,MANHATTAN,50,AMSTERDAM AVENUE,50 AMSTERDAM AVENUE,NEW YORK,NY,10023,1081771,1154,101,1011540101,151,Lincoln Square,40.77519,-73.984377,1,street_center,,Amsterdam Ave,,,New York,NY,New York County,10023,US,TIGER/Line® dataset from the US Census Bureau
22,2,MANHATTAN,60,AMSTERDAM AVENUE,60 AMSTERDAM AVENUE,NEW YORK,NY,10023,1082575,1154,101,1011540101,151,Lincoln Square,40.77519,-73.984377,1,street_center,,Amsterdam Ave,,,New York,NY,New York County,10023,US,TIGER/Line® dataset from the US Census Bureau
22,2,MANHATTAN,70,AMSTERDAM AVENUE,70 AMSTERDAM AVENUE,NEW YORK,NY,10023,1082575,1154,101,1011540101,151,Lincoln Square,40.77519,-73.984377,1,street_center,,Amsterdam Ave,,,New York,NY,New York County,10023,US,TIGER/Line® dataset from the US Census Bureau
22,3,MANHATTAN,80,AMSTERDAM AVENUE,80 AMSTERDAM AVENUE,NEW YORK,NY,10023,1082576,1154,101,1011540101,151,Lincoln Square,40.77519,-73.984377,1,street_center,,Amsterdam Ave,,,New York,NY,New York County,10023,US,TIGER/Line® dataset from the US Census Bureau
22,3,MANHATTAN,90,AMSTERDAM AVENUE,90 AMSTERDAM AVENUE,NEW YORK,NY,10023,1082576,1154,101,1011540101,151,Lincoln Square,40.77519,-73.984377,1,street_center,,Amsterdam Ave,,,New York,NY,New York County,10023,US,TIGER/Line® dataset from the US Census Bureau
22,4,MANHATTAN,216,WEST 62ND STREET,216 WEST 62ND STREET,NEW YORK,NY,10023,1082577,1154,101,1011540101,151,Lincoln Square,40.770986,-73.982574,1,street_center,,W 62nd St,,,New York,NY,New York County,10023,US,TIGER/Line® dataset from the US Census Bureau
22,5,MANHATTAN,217,WEST 62ND STREET,217 WEST 62ND STREET,NEW YORK,NY,10023,1082578,1154,101,1011540101,151,Lincoln Square,40.770986,-73.982574,1,street_center,,W 62nd St,,,New York,NY,New York County,10023,US,TIGER/Line® dataset from the US Census Bureau
22,5,MANHATTAN,216,WEST 63RD STREET,216 WEST 63RD STREET,NEW YORK,NY,10023,1082578,1154,101,1011540101,151,Lincoln Square,40.771342,-73.981548,1,street_center,,W 63rd St,,,New York,NY,New York County,10023,US,TIGER/Line® dataset from the US Census Bureau
22,6,MANHATTAN,217,WEST 63RD STREET,217 WEST 63RD STREET,NEW YORK,NY,10023,1082579,1154,101,1011540101,151,Lincoln Square,40.771342,-73.981548,1,street_center,,W 63rd St,,,New York,NY,New York County,10023,US,TIGER/Line® dataset from the US Census Bureau
22,6,MANHATTAN,210,WEST 64TH STREET,210 WEST 64TH STREET,NEW YORK,NY,10023,1082579,1154,101,1011540101,151,Lincoln Square,40.7718,-73.981421,1,street_center,,W 64th St,,,New York,NY,New York County,10023,US,TIGER/Line® dataset from the US Census Bureau
22,6,MANHATTAN,216,WEST 64TH STREET,216 WEST 64TH STREET,NEW YORK,NY,10023,1082579,1154,101,1011540101,151,Lincoln Square,40.7718,-73.981421,1,street_center,,W 64th St,,,New York,NY,New York County,10023,US,TIGER/Line® dataset from the US Census Bureau
22,7,MANHATTAN,228,WEST 62ND STREET,228 WEST 62ND STREET,NEW YORK,NY,10023,1082580,1154,101,1011540101,151,Lincoln Square,40.770986,-73.982574,1,street_center,,W 62nd St,,,New York,NY,New York County,10023,US,TIGER/Line® dataset from the US Census Bureau
22,8,MANHATTAN,229,WEST 62ND STREET,229 WEST 62ND STREET,NEW YORK,NY,10023,1082581,1154,101,1011540101,151,Lincoln Square,40.770986,-73.982574,1,street_center,,W 62nd St,,,New York,NY,New York County,10023,US,TIGER/Line® dataset from the US Census Bureau
22,8,MANHATTAN,228,WEST 63RD STREET,228 WEST 63RD STREET,NEW YORK,NY,10023,1082581,1154,101,1011540101,151,Lincoln Square,40.771342,-73.981548,1,street_center,,W 63rd St,,,New York,NY,New York County,10023,US,TIGER/Line® dataset from the US Census Bureau
22,9,MANHATTAN,242,WEST 62ND STREET,242 WEST 62ND STREET,NEW YORK,NY,10023,1082583,1154,101,1011540101,151,Lincoln Square,40.770986,-73.982574,1,street_center,,W 62nd St,,,New York,NY,New York County,10023,US,TIGER/Line® dataset from the US Census Bureau
22,10,MANHATTAN,241,WEST 62ND STREET,241 WEST 62ND STREET,NEW YORK,NY,10023,1082582,1154,101,1011540101,151,Lincoln Square,40.770986,-73.982574,1,street_center,,W 62nd St,,,New York,NY,New York County,10023,US,TIGER/Line® dataset from the US Census Bureau
22,10,MANHATTAN,242,WEST 63RD STREET,242 WEST 63RD STREET,NEW YORK,NY,10023,1082582,1154,101,1011540101,151,Lincoln Square,40.771342,-73.981548,1,street_center,,W 63rd St,,,New York,NY,New York County,10023,US,TIGER/Line® dataset from the US Census Bureau
22,11,MANHATTAN,249,WEST 61ST STREET,249 WEST 61ST STREET,NEW YORK,NY,10023,1082584,1154,101,1011540101,151,Lincoln Square,40.770242,-73.982702,1,street_center,,W 61st St,,,New York,NY,New York County,10023,US,TIGER/Line® dataset from the US Census Bureau
22,11,MANHATTAN,250,WEST 61ST DRIVE,250 WEST 61ST DRIVE,NEW YORK,NY,10023,1082584,1154,101,1011540101,151,Lincoln Square,40.772852,-73.988918,1,street_center,,W 61st Dr,,,New York,NY,New York County,10023,US,TIGER/Line® dataset from the US Census Bureau
22,12,MANHATTAN,247,WEST 61ST DRIVE,247 WEST 61ST DRIVE,NEW YORK,NY,10023,1082585,1154,101,1011540101,151,Lincoln Square,40.772852,-73.988918,1,street_center,,W 61st Dr,,,New York,NY,New York County,10023,US,TIGER/Line® dataset from the US Census Bureau
22,12,MANHATTAN,248,WEST 62ND STREET,248 WEST 62ND STREET,NEW YORK,NY,10023,1082585,1154,101,1011540101,151,Lincoln Square,40.770986,-73.982574,1,street_center,,W 62nd St,,,New York,NY,New York County,10023,US,TIGER/Line® dataset from the US Census Bureau
22,13,MANHATTAN,249,WEST 62ND STREET,249 WEST 62ND STREET,NEW YORK,NY,10023,1082586,1154,101,1011540101,151,Lincoln Square,40.770986,-73.982574,1,street_center,,W 62nd St,,,New York,NY,New York County,10023,US,TIGER/Line® dataset from the US Census Bureau
22,13,MANHATTAN,250,WEST 63RD STREET,250 WEST 63RD STREET,NEW YORK,NY,10023,1082586,1154,101,1011540101,151,Lincoln Square,40.771342,-73.981548,1,street_center,,W 63rd St,,,New York,NY,New York County,10023,US,TIGER/Line® dataset from the US Census Bureau
187,1,MANHATTAN,240,WEST 65TH STREET,240 WEST 65TH STREET,NEW YORK,NY,10023,1030340,1156,20,1011560020,151,Lincoln Square,40.773463,-73.983287,1,street_center,,W 65th St,,,New York,NY,New York County,10023,US,TIGER/Line® dataset from the US Census Bureau
26,1,QUEENS,43942,ASTORIA BOULEVARD,4-21 ASTORIA BOULEVARD,ASTORIA,NY,11102,4430788,490,101,4004900101,87,Old Astoria,40.772243,-73.925538,1,street_center,,Astoria Blvd,,,Astoria,NY,Queens County,11102,US,TIGER/Line® dataset from the US Census Bureau
26,2,QUEENS,28-02,8TH STREET,28-02 8TH STREET,ASTORIA,NY,11102,4430778,490,101,4004900101,87,Old Astoria,40.773688,-73.931878,0.87,street_center,,8th St,,,Astoria,NY,Queens County,11102,US,TIGER/Line® dataset from the US Census Bureau
26,3,QUEENS,27-10,8TH STREET,27-10 8TH STREET,ASTORIA,NY,11102,4430777,490,101,4004900101,87,Old Astoria,40.773688,-73.931878,0.87,street_center,,8th St,,,Astoria,NY,Queens County,11102,US,TIGER/Line® dataset from the US Census Bureau
26,4,QUEENS,10-Apr,27TH AVENUE,4-10 27TH AVENUE,ASTORIA,NY,11102,4430782,490,101,4004900101,87,Old Astoria,40.774054,-73.930836,0.87,street_center,,27th Ave,,,Astoria,NY,Queens County,11102,US,TIGER/Line® dataset from the US Census Bureau
26,5,QUEENS,3-Apr,ASTORIA BOULEVARD,4-03 ASTORIA BOULEVARD,ASTORIA,NY,11102,4430787,490,101,4004900101,87,Old Astoria,40.772243,-73.925538,1,street_center,,Astoria Blvd,,,Astoria,NY,Queens County,11102,US,TIGER/Line® dataset from the US Census Bureau
26,6,QUEENS,20-Mar,27TH AVENUE,3-20 27TH AVENUE,ASTORIA,NY,11102,4430781,490,101,4004900101,87,Old Astoria,40.774054,-73.930836,0.87,street_center,,27th Ave,,,Astoria,NY,Queens County,11102,US,TIGER/Line® dataset from the US Census Bureau
26,7,QUEENS,4-Mar,27TH AVENUE,3-04 27TH AVENUE,ASTORIA,NY,11102,4430780,490,101,4004900101,87,Old Astoria,40.774054,-73.930836,0.87,street_center,,27th Ave,,,Astoria,NY,Queens County,11102,US,TIGER/Line® dataset from the US Census Bureau
26,8,QUEENS,10-Feb,27TH AVENUE,2-10 27TH AVENUE,ASTORIA,NY,11102,4430779,490,101,4004900101,87,Old Astoria,40.774054,-73.930836,0.87,street_center,,27th Ave,,,Astoria,NY,Queens County,11102,US,TIGER/Line® dataset from the US Census Bureau
26,9,QUEENS,25-Jan,ASTORIA BOULEVARD,1-25 ASTORIA BOULEVARD,ASTORIA,NY,11102,4430786,490,101,4004900101,87,Old Astoria,40.772243,-73.925538,1,street_center,,Astoria Blvd,,,Astoria,NY,Queens County,11102,US,TIGER/Line® dataset from the US Census Bureau
26,10,QUEENS,27-05,1ST STREET,27-05 1ST STREET,ASTORIA,NY,11102,4430783,490,101,4004900101,87,Old Astoria,40.774552,-73.936764,0.87,street_center,,1st St,,,Astoria,NY,Queens County,11102,US,TIGER/Line® dataset from the US Census Bureau
26,11,QUEENS,27-25,1ST STREET,27-25 1ST STREET,ASTORIA,NY,11102,4430784,490,101,4004900101,87,Old Astoria,40.774552,-73.936764,0.87,street_center,,1st St,,,Astoria,NY,Queens County,11102,US,TIGER/Line® dataset from the US Census Bureau
26,12,QUEENS,5-Jan,ASTORIA BOULEVARD,1-05 ASTORIA BOULEVARD,ASTORIA,NY,11102,4430785,490,101,4004900101,87,Old Astoria,40.772243,-73.925538,1,street_center,,Astoria Blvd,,,Astoria,NY,Queens County,11102,US,TIGER/Line® dataset from the US Census Bureau
26,13,QUEENS,24-Apr,ASTORIA BOULEVARD,4-24 ASTORIA BOULEVARD,ASTORIA,NY,11102,4430799,490,101,4004900101,87,Old Astoria,40.772243,-73.925538,1,street_center,,Astoria Blvd,,,Astoria,NY,Queens County,11102,US,TIGER/Line® dataset from the US Census Bureau
26,15,QUEENS,2-Mar,ASTORIA BOULEVARD,3-02 ASTORIA BOULEVARD,ASTORIA,NY,11102,4430796,490,101,4004900101,87,Old Astoria,40.772243,-73.925538,1,street_center,,Astoria Blvd,,,Astoria,NY,Queens County,11102,US,TIGER/Line® dataset from the US Census Bureau
26,16,QUEENS,6-Mar,ASTORIA BOULEVARD,3-06 ASTORIA BOULEVARD,ASTORIA,NY,11102,4430797,490,101,4004900101,87,Old Astoria,40.772243,-73.925538,1,street_center,,Astoria Blvd,,,Astoria,NY,Queens County,11102,US,TIGER/Line® dataset from the US Census Bureau
26,17,QUEENS,10-Mar,ASTORIA BOULEVARD,3-10 ASTORIA BOULEVARD,ASTORIA,NY,11102,4430798,490,101,4004900101,87,Old Astoria,40.772243,-73.925538,1,street_center,,Astoria Blvd,,,Astoria,NY,Queens County,11102,US,TIGER/Line® dataset from the US Census Bureau
26,18,QUEENS,10-Feb,ASTORIA BOULEVARD,2-10 ASTORIA BOULEVARD,ASTORIA,NY,11102,4430795,490,101,4004900101,87,Old Astoria,40.772243,-73.925538,1,street_center,,Astoria Blvd,,,Astoria,NY,Queens County,11102,US,TIGER/Line® dataset from the US Census Bureau
26,19,QUEENS,6-Feb,ASTORIA BOULEVARD,2-06 ASTORIA BOULEVARD,ASTORIA,NY,11102,4430793,490,101,4004900101,87,Old Astoria,40.772243,-73.925538,1,street_center,,Astoria Blvd,,,Astoria,NY,Queens County,11102,US,TIGER/Line® dataset from the US Census Bureau
26,20,QUEENS,4-Feb,ASTORIA BOULEVARD,2-04 ASTORIA BOULEVARD,ASTORIA,NY,11102,4430792,490,101,4004900101,87,Old Astoria,40.772243,-73.925538,1,street_center,,Astoria Blvd,,,Astoria,NY,Queens County,11102,US,TIGER/Line® dataset from the US Census Bureau
26,21,QUEENS,20-Jan,ASTORIA BOULEVARD,1-20 ASTORIA BOULEVARD,ASTORIA,NY,11102,4430791,490,101,4004900101,87,Old Astoria,40.772243,-73.925538,1,street_center,,Astoria Blvd,,,Astoria,NY,Queens County,11102,US,TIGER/Line® dataset from the US Census Bureau
26,22,QUEENS,10-Jan,ASTORIA BOULEVARD,1-10 ASTORIA BOULEVARD,ASTORIA,NY,11102,4430790,490,101,4004900101,87,Old Astoria,40.772243,-73.925538,1,street_center,,Astoria Blvd,,,Astoria,NY,Queens County,11102,US,TIGER/Line® dataset from the US Census Bureau
26,23,QUEENS,4-Jan,ASTORIA BOULEVARD,1-04 ASTORIA BOULEVARD,ASTORIA,NY,11102,4430789,490,101,4004900101,87,Old Astoria,40.772243,-73.925538,1,street_center,,Astoria Blvd,,,Astoria,NY,Queens County,11102,US,TIGER/Line® dataset from the US Census Bureau
256,1,BROOKLYN,487,CARLTON AVENUE,487 CARLTON AVENUE,BROOKLYN,NY,11238,3057520,2007,1,3020070001,179,Fort Greene,40.681987,-73.970573,1,street_center,,Carlton Ave,,,Brooklyn,NY,Kings County,11238,US,TIGER/Line® dataset from the US Census Bureau
125,1,MANHATTAN,1909,AMSTERDAM AVENUE,1909 AMSTERDAM AVENUE,NEW YORK,NY,10032,1061681,2068,46,1020680046,23501,Hamilton Heights,40.836221,-73.939826,1,street_center,,Amsterdam Ave,,,New York,NY,New York County,10032,US,TIGER/Line® dataset from the US Census Bureau
202,1,BRONX,2663,HEATH AVENUE,2663 HEATH AVENUE,BRONX,NY,10463,2092440,3239,4,2032390004,269,Kingsbridge Heights,40.873396,-73.904172,1,street_center,,Heath Ave,,,Bronx,NY,Bronx County,10463,US,TIGER/Line® dataset from the US Census Bureau
91,1,QUEENS,164-01,FOCH BOULEVARD,164-01 FOCH BOULEVARD,JAMAICA,NY,11434,4435294,12335,44,4123350044,278,Baisley Park,40.685982,-73.778444,1,street_center,,Foch Blvd,,,Jamaica,NY,Queens County,11434,US,TIGER/Line® dataset from the US Census Bureau
91,2,QUEENS,163-11,FOCH BOULEVARD,163-11 FOCH BOULEVARD,JAMAICA,NY,11434,4435293,12335,44,4123350044,278,Baisley Park,40.685982,-73.778444,1,street_center,,Foch Blvd,,,Jamaica,NY,Queens County,11434,US,TIGER/Line® dataset from the US Census Bureau
91,3,QUEENS,116-80,GUY BREWER BOULEVARD,116-80 GUY BREWER BOULEVARD,JAMAICA,NY,11434,4435282,12235,22,4122350022,278,Baisley Park,40.674583,-73.78156,1,place,,,,,Jamaica,NY,Queens County,11434,US,TIGER/Line® dataset from the US Census Bureau
91,4,QUEENS,116-40,GUY BREWER BOULEVARD,116-40 GUY BREWER BOULEVARD,JAMAICA,NY,11434,4435280,12235,22,4122350022,278,Baisley Park,40.674583,-73.78156,1,place,,,,,Jamaica,NY,Queens County,11434,US,TIGER/Line® dataset from the US Census Bureau
91,5,QUEENS,116-30,GUY BREWER BOULEVARD,116-30 GUY BREWER BOULEVARD,JAMAICA,NY,11434,4529903,12235,22,4122350022,278,Baisley Park,40.674583,-73.78156,1,place,,,,,Jamaica,NY,Queens County,11434,US,TIGER/Line® dataset from the US Census Bureau
60,1,MANHATTAN,605,FDR DRIVE,605 FDR DRIVE,NEW YORK,NY,10002,1078027,323,1,1003230001,1002,Lower East Side,40.783282,-73.943715,0.6,street_center,,Fdr Dr,,,New York,NY,New York County,10002,US,TIGER/Line® dataset from the US Census Bureau
60,1,MANHATTAN,595,FDR DRIVE,595 FDR DRIVE,NEW YORK,NY,10002,1078027,323,1,1003230001,1002,Lower East Side,40.783282,-73.943715,0.6,street_center,,Fdr Dr,,,New York,NY,New York County,10002,US,TIGER/Line® dataset from the US Census Bureau
60,2,MANHATTAN,577,FDR DRIVE,577 FDR DRIVE,NEW YORK,NY,10002,1078028,323,1,1003230001,1002,Lower East Side,40.783282,-73.943715,0.6,street_center,,Fdr Dr,,,New York,NY,New York County,10002,US,TIGER/Line® dataset from the US Census Bureau
60,2,MANHATTAN,571,FDR DRIVE,571 FDR DRIVE,NEW YORK,NY,10002,1078028,323,1,1003230001,1002,Lower East Side,40.783282,-73.943715,0.6,street_center,,Fdr Dr,,,New York,NY,New York County,10002,US,TIGER/Line® dataset from the US Census Bureau
60,3,MANHATTAN,555,FDR DRIVE,555 FDR DRIVE,NEW YORK,NY,10002,1078029,323,1,1003230001,1002,Lower East Side,40.783282,-73.943715,0.6,street_center,,Fdr Dr,,,New York,NY,New York County,10002,US,TIGER/Line® dataset from the US Census Bureau
60,3,MANHATTAN,549,FDR DRIVE,549 FDR DRIVE,NEW YORK,NY,10002,1078029,323,1,1003230001,1002,Lower East Side,40.783282,-73.943715,0.6,street_center,,Fdr Dr,,,New York,NY,New York County,10002,US,TIGER/Line® dataset from the US Census Bureau
60,4,MANHATTAN,525,FDR DRIVE,525 FDR DRIVE,NEW YORK,NY,10002,1078030,323,1,1003230001,1002,Lower East Side,40.783282,-73.943715,0.6,street_center,,Fdr Dr,,,New York,NY,New York County,10002,US,TIGER/Line® dataset from the US Census Bureau
60,4,MANHATTAN,521,FDR DRIVE,521 FDR DRIVE,NEW YORK,NY,10002,1078030,323,1,1003230001,1002,Lower East Side,40.783282,-73.943715,0.6,street_center,,Fdr Dr,,,New York,NY,New York County,10002,US,TIGER/Line® dataset from the US Census Bureau
60,5,MANHATTAN,64,BARUCH DRIVE,64 BARUCH DRIVE,NEW YORK,NY,10002,1078031,323,1,1003230001,1002,Lower East Side,40.717619,-73.977885,1,street_center,,Baruch Dr,,,New York,NY,New York County,10002,US,TIGER/Line® dataset from the US Census Bureau
60,5,MANHATTAN,60,BARUCH DRIVE,60 BARUCH DRIVE,NEW YORK,NY,10002,1078031,323,1,1003230001,1002,Lower East Side,40.717619,-73.977885,1,street_center,,Baruch Dr,,,New York,NY,New York County,10002,US,TIGER/Line® dataset from the US Census Bureau
60,6,MANHATTAN,308,DELANCEY STREET,308 DELANCEY STREET,NEW YORK,NY,10002,1083421,323,1,1003230001,1002,Lower East Side,40.718003,-73.986226,1,street_center,,Delancey St,,,New York,NY,New York County,10002,US,TIGER/Line® dataset from the US Census Bureau
60,6,MANHATTAN,312,DELANCEY STREET,312 DELANCEY STREET,NEW YORK,NY,10002,1083421,323,1,1003230001,1002,Lower East Side,40.718003,-73.986226,1,street_center,,Delancey St,,,New York,NY,New York County,10002,US,TIGER/Line® dataset from the US Census Bureau
60,7,MANHATTAN,72,BARUCH DRIVE,72 BARUCH DRIVE,NEW YORK,NY,10002,1078032,323,1,1003230001,1002,Lower East Side,40.717619,-73.977885,1,street_center,,Baruch Dr,,,New York,NY,New York County,10002,US,TIGER/Line® dataset from the US Census Bureau
60,7,MANHATTAN,70,BARUCH DRIVE,70 BARUCH DRIVE,NEW YORK,NY,10002,1078032,323,1,1003230001,1002,Lower East Side,40.717619,-73.977885,1,street_center,,Baruch Dr,,,New York,NY,New York County,10002,US,TIGER/Line® dataset from the US Census Bureau
60,8,MANHATTAN,90,BARUCH DRIVE,90 BARUCH DRIVE,NEW YORK,NY,10002,1078033,323,1,1003230001,1002,Lower East Side,40.717619,-73.977885,1,street_center,,Baruch Dr,,,New York,NY,New York County,10002,US,TIGER/Line® dataset from the US Census Bureau
60,8,MANHATTAN,80,BARUCH DRIVE,80 BARUCH DRIVE,NEW YORK,NY,10002,1078033,323,1,1003230001,1002,Lower East Side,40.717619,-73.977885,1,street_center,,Baruch Dr,,,New York,NY,New York County,10002,US,TIGER/Line® dataset from the US Census Bureau
60,9,MANHATTAN,120,BARUCH DRIVE,120 BARUCH DRIVE,NEW YORK,NY,10002,1078034,323,1,1003230001,1002,Lower East Side,40.717619,-73.977885,1,street_center,,Baruch Dr,,,New York,NY,New York County,10002,US,TIGER/Line® dataset from the US Census Bureau
