"TDS #","BUILDING #",BOROUGH,"HOUSE #",STREET,ADDRESS,CITY,STATE,"ZIP CODE",BIN,BLOCK,LOT,"BOROUGH/BLOCK/LOT #","CENSUS TRACT (2010)","NEIGHBORHOOD TABULATION AREA CODE","NEIGHBORHOOD TABULATION AREA NAME","COMMUNITY DISTRICT","CITY COUNCIL DISTRICT","STATE ASSEMBLY DISTRICT","STATE SENATE DISTRICT","US CONGRESSIONAL DISTRICT",LATITUDE,LONGITUDE,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
77,1,"STATEN ISLAND",311,"GRANDVIEW AVENUE","311 GRANDVIEW AVENUE","STATEN ISLAND",NY,10303,5110007,1245,1,5012450001,31901,SI12,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",1,49,63,23,11,40.633154550657,-74.164958030923,40.634546,-74.165284,1,street_center,,"Grandview Ave",,,"Staten Island",NY,"Richmond County",10303,US,"TIGER/Line® dataset from the US Census Bureau"
77,1,"STATEN ISLAND",80,"ROXBURY STREET","80 ROXBURY STREET","STATEN ISLAND",NY,10303,5110007,1245,1,5012450001,31901,SI12,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",1,49,63,23,11,40.632936809801,-74.164769845465,40.633627,-74.163003,1,street_center,,"Roxbury St",,,"Staten Island",NY,"Richmond County",10303,US,"TIGER/Line® dataset from the US Census Bureau"
77,2,"STATEN ISLAND",74,"ROXBURY STREET","74 ROXBURY STREET","STATEN ISLAND",NY,10303,5110016,1245,1,5012450001,31901,SI12,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",1,49,63,23,11,40.633163892118,-74.164474376391,40.633627,-74.163003,1,street_center,,"Roxbury St",,,"Staten Island",NY,"Richmond County",10303,US,"TIGER/Line® dataset from the US Census Bureau"
77,2,"STATEN ISLAND",62,"ROXBURY STREET","62 ROXBURY STREET","STATEN ISLAND",NY,10303,5110016,1245,1,5012450001,31901,SI12,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",1,49,63,23,11,40.632981917027,-74.164267514615,40.633627,-74.163003,1,street_center,,"Roxbury St",,,"Staten Island",NY,"Richmond County",10303,US,"TIGER/Line® dataset from the US Census Bureau"
77,3,"STATEN ISLAND",56,"ROXBURY STREET","56 ROXBURY STREET","STATEN ISLAND",NY,10303,5110014,1245,1,5012450001,31901,SI12,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",1,49,63,23,11,40.633180878825,-74.163976158941,40.633627,-74.163003,1,street_center,,"Roxbury St",,,"Staten Island",NY,"Richmond County",10303,US,"TIGER/Line® dataset from the US Census Bureau"
77,3,"STATEN ISLAND",50,"ROXBURY STREET","50 ROXBURY STREET","STATEN ISLAND",NY,10303,5110014,1245,1,5012450001,31901,SI12,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",1,49,63,23,11,40.633006030199,-74.163783390405,40.633627,-74.163003,1,street_center,,"Roxbury St",,,"Staten Island",NY,"Richmond County",10303,US,"TIGER/Line® dataset from the US Census Bureau"
77,4,"STATEN ISLAND",46,"ROXBURY STREET","46 ROXBURY STREET","STATEN ISLAND",NY,10303,5110012,1245,1,5012450001,31901,SI12,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",1,49,63,23,11,40.633200903371,-74.163483121267,40.633627,-74.163003,1,street_center,,"Roxbury St",,,"Staten Island",NY,"Richmond County",10303,US,"TIGER/Line® dataset from the US Census Bureau"
77,4,"STATEN ISLAND",40,"ROXBURY STREET","40 ROXBURY STREET","STATEN ISLAND",NY,10303,5110012,1245,1,5012450001,31901,SI12,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",1,49,63,23,11,40.633011738212,-74.163304393383,40.633627,-74.163003,1,street_center,,"Roxbury St",,,"Staten Island",NY,"Richmond County",10303,US,"TIGER/Line® dataset from the US Census Bureau"
77,5,"STATEN ISLAND",20,"ROXBURY STREET","20 ROXBURY STREET","STATEN ISLAND",NY,10303,5109114,1245,1,5012450001,31901,SI12,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",1,49,63,23,11,40.632831153066,-74.162706741323,40.633627,-74.163003,1,street_center,,"Roxbury St",,,"Staten Island",NY,"Richmond County",10303,US,"TIGER/Line® dataset from the US Census Bureau"
77,6,"STATEN ISLAND",14,"ROXBURY STREET","14 ROXBURY STREET","STATEN ISLAND",NY,10303,5110121,1245,1,5012450001,31901,SI12,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",1,49,63,23,11,40.633269292514,-74.162114414637,40.633627,-74.163003,1,street_center,,"Roxbury St",,,"Staten Island",NY,"Richmond County",10303,US,"TIGER/Line® dataset from the US Census Bureau"
77,7,"STATEN ISLAND",178,"LOCKMAN AVENUE","178 LOCKMAN AVENUE","STATEN ISLAND",NY,10303,5109118,1245,1,5012450001,31901,SI12,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",1,49,63,23,11,40.632679491573,-74.162337427203,40.633113,-74.161514,1,street_center,,"Lockman Ave",,,"Staten Island",NY,"Richmond County",10303,US,"TIGER/Line® dataset from the US Census Bureau"
77,8,"STATEN ISLAND",208,"LOCKMAN AVENUE","208 LOCKMAN AVENUE","STATEN ISLAND",NY,10303,5109119,1245,1,5012450001,31901,SI12,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",1,49,63,23,11,40.631977913994,-74.161951599533,40.633113,-74.161514,1,street_center,,"Lockman Ave",,,"Staten Island",NY,"Richmond County",10303,US,"TIGER/Line® dataset from the US Census Bureau"
77,9,"STATEN ISLAND",139,"BRABANT STREET","139 BRABANT STREET","STATEN ISLAND",NY,10303,5109120,1245,1,5012450001,31901,SI12,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",1,49,63,23,11,40.632173988955,-74.162725861041,40.631769,-74.160885,1,street_center,,"Brabant St",,,"Staten Island",NY,"Richmond County",10303,US,"TIGER/Line® dataset from the US Census Bureau"
77,10,"STATEN ISLAND",153,"BRABANT STREET","153 BRABANT STREET","STATEN ISLAND",NY,10303,5109121,1245,1,5012450001,31901,SI12,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",1,49,63,23,11,40.632453412591,-74.16328602022,40.631769,-74.160885,1,street_center,,"Brabant St",,,"Staten Island",NY,"Richmond County",10303,US,"TIGER/Line® dataset from the US Census Bureau"
77,11,"STATEN ISLAND",173,"BRABANT STREET","173 BRABANT STREET","STATEN ISLAND",NY,10303,5109122,1245,1,5012450001,31901,SI12,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",1,49,63,23,11,40.632448601742,-74.164095863169,40.631769,-74.160885,1,street_center,,"Brabant St",,,"Staten Island",NY,"Richmond County",10303,US,"TIGER/Line® dataset from the US Census Bureau"
77,12,"STATEN ISLAND",331,"GRANDVIEW AVENUE","331 GRANDVIEW AVENUE","STATEN ISLAND",NY,10303,5109123,1245,1,5012450001,31901,SI12,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",1,49,63,23,11,40.632613554186,-74.164717160035,40.634546,-74.165284,1,street_center,,"Grandview Ave",,,"Staten Island",NY,"Richmond County",10303,US,"TIGER/Line® dataset from the US Census Bureau"
77,12,"STATEN ISLAND",179,"BRABANT STREET","179 BRABANT STREET","STATEN ISLAND",NY,10303,5109123,1245,1,5012450001,31901,SI12,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",1,49,63,23,11,40.63239936694,-74.164543058785,40.631769,-74.160885,1,street_center,,"Brabant St",,,"Staten Island",NY,"Richmond County",10303,US,"TIGER/Line® dataset from the US Census Bureau"
77,13,"STATEN ISLAND",361,"GRANDVIEW AVENUE","361 GRANDVIEW AVENUE","STATEN ISLAND",NY,10303,5109989,1248,200,5012480200,31901,SI12,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",1,49,63,23,11,40.631827242762,-74.165018614112,40.634546,-74.165284,1,street_center,,"Grandview Ave",,,"Staten Island",NY,"Richmond County",10303,US,"TIGER/Line® dataset from the US Census Bureau"
77,14,"STATEN ISLAND",168,"BRABANT STREET","168 BRABANT STREET","STATEN ISLAND",NY,10303,5109128,1248,200,5012480200,31901,SI12,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",1,49,63,23,11,40.631804125183,-74.164361837038,40.631769,-74.160885,1,street_center,,"Brabant St",,,"Staten Island",NY,"Richmond County",10303,US,"TIGER/Line® dataset from the US Census Bureau"
77,15,"STATEN ISLAND",150,"BRABANT STREET","150 BRABANT STREET","STATEN ISLAND",NY,10303,5109127,1248,200,5012480200,31901,SI12,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",1,49,63,23,11,40.631549243005,-74.163958547391,40.631769,-74.160885,1,street_center,,"Brabant St",,,"Staten Island",NY,"Richmond County",10303,US,"TIGER/Line® dataset from the US Census Bureau"
77,16,"STATEN ISLAND",142,"BRABANT STREET","142 BRABANT STREET","STATEN ISLAND",NY,10303,5109126,1248,200,5012480200,31901,SI12,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",1,49,63,23,11,40.631414430838,-74.163446639435,40.631769,-74.160885,1,street_center,,"Brabant St",,,"Staten Island",NY,"Richmond County",10303,US,"TIGER/Line® dataset from the US Census Bureau"
77,17,"STATEN ISLAND",124,"BRABANT STREET","124 BRABANT STREET","STATEN ISLAND",NY,10303,5109125,1248,200,5012480200,31901,SI12,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",1,49,63,23,11,40.631462279264,-74.162736127727,40.631769,-74.160885,1,street_center,,"Brabant St",,,"Staten Island",NY,"Richmond County",10303,US,"TIGER/Line® dataset from the US Census Bureau"
77,18,"STATEN ISLAND",110,"BRABANT STREET","110 BRABANT STREET","STATEN ISLAND",NY,10303,5109124,1248,200,5012480200,31901,SI12,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",1,49,63,23,11,40.631412005738,-74.162167068187,40.631769,-74.160885,1,street_center,,"Brabant St",,,"Staten Island",NY,"Richmond County",10303,US,"TIGER/Line® dataset from the US Census Bureau"
77,18,"STATEN ISLAND",240,"LOCKMAN AVENUE","240 LOCKMAN AVENUE","STATEN ISLAND",NY,10303,5109124,1248,200,5012480200,31901,SI12,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",1,49,63,23,11,40.631187112864,-74.161978879401,40.633113,-74.161514,1,street_center,,"Lockman Ave",,,"Staten Island",NY,"Richmond County",10303,US,"TIGER/Line® dataset from the US Census Bureau"
77,19,"STATEN ISLAND",161,"CONTINENTAL PLACE","161 CONTINENTAL PLACE","STATEN ISLAND",NY,10303,5109129,1248,200,5012480200,31901,SI12,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",1,49,63,23,11,40.630677860675,-74.162189955943,40.630371,-74.162103,1,street_center,,"Continental Pl",,,"Staten Island",NY,"Richmond County",10303,US,"TIGER/Line® dataset from the US Census Bureau"
77,19,"STATEN ISLAND",264,"LOCKMAN AVENUE","264 LOCKMAN AVENUE","STATEN ISLAND",NY,10303,5109129,1248,200,5012480200,31901,SI12,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",1,49,63,23,11,40.630477998328,-74.161992447304,40.633113,-74.161514,1,street_center,,"Lockman Ave",,,"Staten Island",NY,"Richmond County",10303,US,"TIGER/Line® dataset from the US Census Bureau"
77,20,"STATEN ISLAND",177,"CONTINENTAL PLACE","177 CONTINENTAL PLACE","STATEN ISLAND",NY,10303,5109130,1248,200,5012480200,31901,SI12,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",1,49,63,23,11,40.630669160333,-74.162660051081,40.630371,-74.162103,1,street_center,,"Continental Pl",,,"Staten Island",NY,"Richmond County",10303,US,"TIGER/Line® dataset from the US Census Bureau"
77,20,"STATEN ISLAND",169,"CONTINENTAL PLACE","169 CONTINENTAL PLACE","STATEN ISLAND",NY,10303,5109130,1248,200,5012480200,31901,SI12,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",1,49,63,23,11,40.630487155413,-74.162471967137,40.630371,-74.162103,1,street_center,,"Continental Pl",,,"Staten Island",NY,"Richmond County",10303,US,"TIGER/Line® dataset from the US Census Bureau"
77,21,"STATEN ISLAND",189,"CONTINENTAL PLACE","189 CONTINENTAL PLACE","STATEN ISLAND",NY,10303,5109131,1248,200,5012480200,31901,SI12,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",1,49,63,23,11,40.630774713676,-74.163109689701,40.630371,-74.162103,1,street_center,,"Continental Pl",,,"Staten Island",NY,"Richmond County",10303,US,"TIGER/Line® dataset from the US Census Bureau"
77,21,"STATEN ISLAND",183,"CONTINENTAL PLACE","183 CONTINENTAL PLACE","STATEN ISLAND",NY,10303,5109131,1248,200,5012480200,31901,SI12,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",1,49,63,23,11,40.630581973733,-74.162930959464,40.630371,-74.162103,1,street_center,,"Continental Pl",,,"Staten Island",NY,"Richmond County",10303,US,"TIGER/Line® dataset from the US Census Bureau"
77,22,"STATEN ISLAND",201,"CONTINENTAL PLACE","201 CONTINENTAL PLACE","STATEN ISLAND",NY,10303,5109132,1248,200,5012480200,31901,SI12,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",1,49,63,23,11,40.630766148204,-74.16358488367,40.630371,-74.162103,1,street_center,,"Continental Pl",,,"Staten Island",NY,"Richmond County",10303,US,"TIGER/Line® dataset from the US Census Bureau"
77,22,"STATEN ISLAND",195,"CONTINENTAL PLACE","195 CONTINENTAL PLACE","STATEN ISLAND",NY,10303,5109132,1248,200,5012480200,31901,SI12,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",1,49,63,23,11,40.630587718054,-74.163396805679,40.630371,-74.162103,1,street_center,,"Continental Pl",,,"Staten Island",NY,"Richmond County",10303,US,"TIGER/Line® dataset from the US Census Bureau"
83,1,BROOKLYN,29,"AVENUE W","29 AVENUE W",BROOKLYN,NY,11223,3322145,7137,1,3071370001,382,BK26,Gravesend,13,47,47,23,11,40.591908151281,-73.982838395434,40.597139,-73.973429,0.33,place,,,,,Brooklyn,NY,"Kings County",11223,US,"TIGER/Line® dataset from the US Census Bureau"
83,2,BROOKLYN,30,"AVENUE V","30 AVENUE V",BROOKLYN,NY,11223,3322143,7137,1,3071370001,382,BK26,Gravesend,13,47,47,23,11,40.593134726173,-73.983066428796,40.594687,-73.97584,1,street_center,,"Ave V",,,Brooklyn,NY,"Kings County",11223,US,"TIGER/Line® dataset from the US Census Bureau"
83,3,BROOKLYN,2250,"WEST 11TH STREET","2250 WEST 11TH STREET",BROOKLYN,NY,11223,3322157,7137,1,3071370001,382,BK26,Gravesend,13,47,47,23,11,40.592619508063,-73.982056749701,40.597094,-73.982624,0.87,street_center,,"W 11th St",,,Brooklyn,NY,"Kings County",11223,US,"TIGER/Line® dataset from the US Census Bureau"
83,4,BROOKLYN,18,"AVENUE V","18 AVENUE V",BROOKLYN,NY,11223,3322137,7137,1,3071370001,382,BK26,Gravesend,13,47,47,23,11,40.593422440442,-73.983777406798,40.594687,-73.97584,1,street_center,,"Ave V",,,Brooklyn,NY,"Kings County",11223,US,"TIGER/Line® dataset from the US Census Bureau"
83,5,BROOKLYN,2227,"STILLWELL AVENUE","2227 STILLWELL AVENUE",BROOKLYN,NY,11223,3322148,7137,1,3071370001,382,BK26,Gravesend,13,47,47,23,11,40.592891187403,-73.98413596574,40.59655,-73.98539,1,street_center,,"Stillwell Ave",,,Brooklyn,NY,"Kings County",11223,US,"TIGER/Line® dataset from the US Census Bureau"
83,6,BROOKLYN,2249,"STILLWELL AVENUE","2249 STILLWELL AVENUE",BROOKLYN,NY,11223,3322154,7137,1,3071370001,382,BK26,Gravesend,13,47,47,23,11,40.592444192852,-73.983671768273,40.59655,-73.98539,1,street_center,,"Stillwell Ave",,,Brooklyn,NY,"Kings County",11223,US,"TIGER/Line® dataset from the US Census Bureau"
83,7,BROOKLYN,2271,"STILLWELL AVENUE","2271 STILLWELL AVENUE",BROOKLYN,NY,11223,3322155,7137,1,3071370001,382,BK26,Gravesend,13,47,47,23,11,40.591917135342,-73.983957142523,40.59655,-73.98539,1,street_center,,"Stillwell Ave",,,Brooklyn,NY,"Kings County",11223,US,"TIGER/Line® dataset from the US Census Bureau"
83,8,BROOKLYN,17,"AVENUE W","17 AVENUE W",BROOKLYN,NY,11223,3322144,7137,1,3071370001,382,BK26,Gravesend,13,47,47,23,11,40.591486844138,-73.983445026157,40.597139,-73.973429,0.33,place,,,,,Brooklyn,NY,"Kings County",11223,US,"TIGER/Line® dataset from the US Census Bureau"
83,9,BROOKLYN,61,"AVENUE W","61 AVENUE W",BROOKLYN,NY,11223,3322146,7137,1,3071370001,382,BK26,Gravesend,13,47,47,23,11,40.59181565697,-73.982038396847,40.597139,-73.973429,0.33,place,,,,,Brooklyn,NY,"Kings County",11223,US,"TIGER/Line® dataset from the US Census Bureau"
83,10,BROOKLYN,63,"AVENUE W","63 AVENUE W",BROOKLYN,NY,11223,3322147,7137,1,3071370001,382,BK26,Gravesend,13,47,47,23,11,40.591853575181,-73.981689641914,40.597139,-73.973429,0.33,place,,,,,Brooklyn,NY,"Kings County",11223,US,"TIGER/Line® dataset from the US Census Bureau"
83,11,BROOKLYN,2220,"WEST 11TH STREET","2220 WEST 11TH STREET",BROOKLYN,NY,11223,3322156,7137,1,3071370001,382,BK26,Gravesend,13,47,47,23,11,40.593245164515,-73.982214123107,40.597094,-73.982624,0.87,street_center,,"W 11th St",,,Brooklyn,NY,"Kings County",11223,US,"TIGER/Line® dataset from the US Census Bureau"
83,12,BROOKLYN,2770,"86TH STREET","2770 86TH STREET",BROOKLYN,NY,11223,3322196,7140,16,3071400016,382,BK26,Gravesend,13,47,45,23,11,40.593145972343,-73.980185638818,40.593256,-73.979832,0.87,street_center,,"86th St",,,Brooklyn,NY,"Kings County",11223,US,"TIGER/Line® dataset from the US Census Bureau"
83,13,BROOKLYN,2257,"WEST 11TH STREET","2257 WEST 11TH STREET",BROOKLYN,NY,11223,3322168,7140,16,3071400016,382,BK26,Gravesend,13,47,45,23,11,40.592644305853,-73.980583741838,40.597094,-73.982624,0.87,street_center,,"W 11th St",,,Brooklyn,NY,"Kings County",11223,US,"TIGER/Line® dataset from the US Census Bureau"
83,14,BROOKLYN,2790,"86TH STREET","2790 86TH STREET",BROOKLYN,NY,11223,3322194,7140,16,3071400016,382,BK26,Gravesend,13,47,45,23,11,40.592750994805,-73.979628941332,40.593256,-73.979832,0.87,street_center,,"86th St",,,Brooklyn,NY,"Kings County",11223,US,"TIGER/Line® dataset from the US Census Bureau"
83,15,BROOKLYN,2800,"86TH STREET","2800 86TH STREET",BROOKLYN,NY,11223,3322195,7140,16,3071400016,382,BK26,Gravesend,13,47,45,23,11,40.592493036671,-73.979143478397,40.593256,-73.979832,0.87,street_center,,"86th St",,,Brooklyn,NY,"Kings County",11223,US,"TIGER/Line® dataset from the US Census Bureau"
83,16,BROOKLYN,2780,"86TH STREET","2780 86TH STREET",BROOKLYN,NY,11223,3322193,7140,16,3071400016,382,BK26,Gravesend,13,47,45,23,11,40.592247482956,-73.980040892837,40.593256,-73.979832,0.87,street_center,,"86th St",,,Brooklyn,NY,"Kings County",11223,US,"TIGER/Line® dataset from the US Census Bureau"
83,17,BROOKLYN,2295,"WEST 11TH STREET","2295 WEST 11TH STREET",BROOKLYN,NY,11223,3322169,7140,16,3071400016,382,BK26,Gravesend,13,47,45,23,11,40.591712677174,-73.980399045069,40.597094,-73.982624,0.87,street_center,,"W 11th St",,,Brooklyn,NY,"Kings County",11223,US,"TIGER/Line® dataset from the US Census Bureau"
83,18,BROOKLYN,2292,"WEST 8TH STREET","2292 WEST 8TH STREET",BROOKLYN,NY,11223,3322172,7140,16,3071400016,382,BK26,Gravesend,13,47,45,23,11,40.591844698786,-73.979387676132,40.599766,-73.979991,0.87,street_center,,"W 8th St",,,Brooklyn,NY,"Kings County",11223,US,"TIGER/Line® dataset from the US Census Bureau"
83,19,BROOKLYN,2294,"WEST 8TH STREET","2294 WEST 8TH STREET",BROOKLYN,NY,11223,3322179,7140,16,3071400016,382,BK26,Gravesend,13,47,45,23,11,40.591834596568,-73.978778352775,40.599766,-73.979991,0.87,street_center,,"W 8th St",,,Brooklyn,NY,"Kings County",11223,US,"TIGER/Line® dataset from the US Census Bureau"
83,20,BROOKLYN,2304,"WEST 8TH STREET","2304 WEST 8TH STREET",BROOKLYN,NY,11223,3322180,7140,16,3071400016,382,BK26,Gravesend,13,47,45,23,11,40.59129984811,-73.979823905989,40.599766,-73.979991,0.87,street_center,,"W 8th St",,,Brooklyn,NY,"Kings County",11223,US,"TIGER/Line® dataset from the US Census Bureau"
83,21,BROOKLYN,2331,"WEST 11TH STREET","2331 WEST 11TH STREET",BROOKLYN,NY,11223,3322170,7140,16,3071400016,382,BK26,Gravesend,13,47,45,23,11,40.590819657341,-73.980236436717,40.597094,-73.982624,0.87,street_center,,"W 11th St",,,Brooklyn,NY,"Kings County",11223,US,"TIGER/Line® dataset from the US Census Bureau"
83,22,BROOKLYN,2328,"WEST 8TH STREET","2328 WEST 8TH STREET",BROOKLYN,NY,11223,3322182,7140,16,3071400016,382,BK26,Gravesend,13,47,45,23,11,40.590945812099,-73.979283124042,40.599766,-73.979991,0.87,street_center,,"W 8th St",,,Brooklyn,NY,"Kings County",11223,US,"TIGER/Line® dataset from the US Census Bureau"
83,23,BROOKLYN,2326,"WEST 8TH STREET","2326 WEST 8TH STREET",BROOKLYN,NY,11223,3322181,7140,16,3071400016,382,BK26,Gravesend,13,47,45,23,11,40.591064099429,-73.978624407839,40.599766,-73.979991,0.87,street_center,,"W 8th St",,,Brooklyn,NY,"Kings County",11223,US,"TIGER/Line® dataset from the US Census Bureau"
83,24,BROOKLYN,2336,"WEST 8TH STREET","2336 WEST 8TH STREET",BROOKLYN,NY,11223,3322183,7140,16,3071400016,382,BK26,Gravesend,13,47,45,23,11,40.590453710584,-73.979692535619,40.599766,-73.979991,0.87,street_center,,"W 8th St",,,Brooklyn,NY,"Kings County",11223,US,"TIGER/Line® dataset from the US Census Bureau"
83,25,BROOKLYN,2352,"WEST 8TH STREET","2352 WEST 8TH STREET",BROOKLYN,NY,11223,3322184,7140,16,3071400016,382,BK26,Gravesend,13,47,45,23,11,40.590364970231,-73.978741009586,40.599766,-73.979991,0.87,street_center,,"W 8th St",,,Brooklyn,NY,"Kings County",11223,US,"TIGER/Line® dataset from the US Census Bureau"
83,26,BROOKLYN,127,"AVENUE X","127 AVENUE X",BROOKLYN,NY,11223,3322167,7140,16,3071400016,382,BK26,Gravesend,13,47,45,23,11,40.589983345742,-73.979025841348,40.590027,-73.973725,1,street_center,,"Ave X",,,Brooklyn,NY,"Kings County",11223,US,"TIGER/Line® dataset from the US Census Bureau"
83,27,BROOKLYN,105,"AVENUE X","105 AVENUE X",BROOKLYN,NY,11223,3322158,7140,16,3071400016,382,BK26,Gravesend,13,47,45,23,11,40.589887174564,-73.979627548101,40.590027,-73.973725,1,street_center,,"Ave X",,,Brooklyn,NY,"Kings County",11223,US,"TIGER/Line® dataset from the US Census Bureau"
83,28,BROOKLYN,2369,"WEST 11TH STREET","2369 WEST 11TH STREET",BROOKLYN,NY,11223,3322171,7140,16,3071400016,382,BK26,Gravesend,13,47,45,23,11,40.589844753603,-73.980100231253,40.597094,-73.982624,0.87,street_center,,"W 11th St",,,Brooklyn,NY,"Kings County",11223,US,"TIGER/Line® dataset from the US Census Bureau"
